      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-25.000000000000   0.600000000000 -25.000000000000  10.000000000000  -1.688353000877   0.026798733223   0.178320938142   0.205119671365   0.203768910411   0.230567643634   0.130347670964  -8.231063308762   0.614379784630  -0.594970837632   0.204822428178  -1.585451962615   0.072913116894  -0.307699550905   0.069981546977  -0.072913116894  -0.307699550905  -0.069981546977   0.000000000000
-25.000000000000   0.600000000000 -19.444444000000  10.000000000000  -1.338386787575   0.020716795510   0.120709197337   0.141425992847   0.134032990868   0.154749786378   0.151126694920  -9.463513464734   0.559953245628  -0.384900336397   0.196736507698  -1.283458709935   0.052912579673  -0.276857940570   0.065568664482  -0.052912579673  -0.276857940570  -0.065568664482   0.000000000000
-25.000000000000   0.600000000000 -13.888889000000  10.000000000000  -0.964225710097   0.015514738707   0.074945512247   0.090460250954   0.082255153686   0.097769892393   0.167967023822 -10.659109387068   0.454378054438  -0.220775216069   0.190459975670  -0.938674863701   0.032332043725  -0.238976670510   0.062148989030  -0.032332043725  -0.238976670510  -0.062148989030   0.000000000000
-25.000000000000   0.600000000000  -8.333333000000  10.000000000000  -0.572507892906   0.011729072527   0.043288410554   0.055017483080   0.048608961170   0.060338033697   0.179695149665 -10.405926641035   0.263378281483  -0.108778949899   0.186110506499  -0.562683372001   0.011132642957  -0.195417579389   0.059813966914  -0.011132642957  -0.195417579389  -0.059813966914   0.000000000000
-25.000000000000   0.600000000000  -2.777778000000  10.000000000000  -0.169848645851   0.009729396846   0.027269549216   0.036998946062   0.033252276508   0.042981673355   0.185405715383  -4.590634705271   0.034470893892  -0.053002011073   0.183671073884  -0.167476825993  -0.010297134567  -0.148080971795   0.058555541429   0.010297134567  -0.148080971795  -0.058555541429   0.000000000000
-25.000000000000   0.600000000000   2.777778000000  10.000000000000   0.236538665090   0.009703515186   0.027589363911   0.037292879097   0.035618993580   0.045322508767   0.184430593903   6.342730055101   0.066327876133  -0.055556267553   0.182911535161   0.234121366650  -0.031810579028  -0.099010583605   0.058314571135   0.031810579028  -0.099010583605  -0.058314571135   0.000000000000
-25.000000000000   0.600000000000   8.333333000000  10.000000000000   0.639880890063   0.011650322333   0.044362814788   0.056013137121   0.057116690364   0.068767012697   0.176626306819  11.423764547970   0.323166328958  -0.116367346409   0.183749971911   0.629663772001  -0.053077071980  -0.050544592970   0.059058229838   0.053077071980  -0.050544592970  -0.059058229838   0.000000000000
-25.000000000000   0.600000000000  13.888889000000  10.000000000000   1.032242286375   0.015367469621   0.076755050515   0.092122520136   0.094471087786   0.109838557407   0.161372062072  11.205102561794   0.511346400852  -0.232933756272   0.185185415793   1.005733496450  -0.073930765359  -0.003301165220   0.060497653571   0.073930765359  -0.003301165220  -0.060497653571   0.000000000000
-25.000000000000   0.600000000000  19.444444000000  10.000000000000   1.406813081604   0.020476133705   0.124032466568   0.144508600273   0.147086214150   0.167562347855   0.139941784106   9.735151257053   0.605475846314  -0.400587157849   0.187902302121   1.350485889925  -0.093948714272   0.040524400756   0.062776344777   0.093948714272   0.040524400756  -0.062776344777   0.000000000000
-25.000000000000   0.600000000000  25.000000000000  10.000000000000   1.754938877426   0.026360639688   0.182000085674   0.208360725362   0.220436032134   0.246796671822   0.109805220435   8.422599193664   0.653470295295  -0.612580848324   0.187574373905   1.650709665669  -0.112561115881   0.082814577979   0.064451267566   0.112561115881   0.082814577979  -0.064451267566   0.000000000000
-19.444444000000   0.600000000000 -25.000000000000  10.000000000000  -1.839644183760   0.029019817623   0.186209478123   0.215229295746   0.210078717183   0.239098534806   0.100636442199  -8.547368876467   0.695158760274  -0.623891109631   0.166544872386  -1.738897568834   0.059751410624  -0.283915207836   0.057042791296  -0.059751410624  -0.283915207836  -0.057042791296   0.000000000000
-19.444444000000   0.600000000000 -19.444444000000  10.000000000000  -1.460784384012   0.021904031140   0.121993872210   0.143897903350   0.133371537421   0.155275568561   0.118374808958 -10.151533483145   0.655594784868  -0.395491512210   0.159525827729  -1.409520554166   0.043388063871  -0.249476165070   0.053257185489  -0.043388063871  -0.249476165070  -0.053257185489   0.000000000000
-19.444444000000   0.600000000000 -13.888889000000  10.000000000000  -1.056783837231   0.015856335002   0.071074235525   0.086930570527   0.075879845071   0.091736180072   0.132646371222 -12.156642143548   0.567959693520  -0.216960327889   0.154019399092  -1.034963914032   0.026635229982  -0.206674898764   0.050302698806  -0.026635229982  -0.206674898764  -0.050302698806   0.000000000000
-19.444444000000   0.600000000000  -8.333333000000  10.000000000000  -0.633698630918   0.011465209943   0.035851571682   0.047316781625   0.038294063995   0.049759273938   0.142761476304 -13.392682451211   0.375204520053  -0.094718627877   0.150370445794  -0.626586611996   0.009350688113  -0.157487064160   0.048335088921  -0.009350688113  -0.157487064160  -0.048335088921   0.000000000000
-19.444444000000   0.600000000000  -2.777778000000  10.000000000000  -0.198780471782   0.009153420605   0.017973193560   0.027126614165   0.020756690150   0.029910110754   0.147795255830  -7.327876253776   0.064397582627  -0.033226140590   0.148395963249  -0.197402199776  -0.008155908028  -0.103996443308   0.047298301719   0.008155908028  -0.103996443308  -0.047298301719   0.000000000000
-19.444444000000   0.600000000000   2.777778000000  10.000000000000   0.240134205572   0.009140850089   0.018262617808   0.027403467898   0.021908178446   0.031049028535   0.147448015991   8.762913017735   0.093029406216  -0.034854026702   0.148160690915   0.238725596969  -0.025840776497  -0.048409212594   0.047225805853   0.025840776497  -0.048409212594  -0.047225805853   0.000000000000
-19.444444000000   0.600000000000   8.333333000000  10.000000000000   0.675460191289   0.011422574642   0.036725594236   0.048148168877   0.043155633822   0.054578208463   0.141136567045  14.028782548498   0.418926143168  -0.099460307636   0.149114976425   0.668099257409  -0.043244376273   0.007192153234   0.047944682383   0.043244376273   0.007192153234  -0.047944682383   0.000000000000
-19.444444000000   0.600000000000  13.888889000000  10.000000000000   1.099178727377   0.015775588004   0.072733862581   0.088509450585   0.083447283390   0.099222871393   0.128931366718  12.418772460059   0.603482534944  -0.224490948612   0.151041878536   1.076773541561  -0.060260730426   0.060733763708   0.049366393812   0.060260730426   0.060733763708  -0.049366393812   0.000000000000
-19.444444000000   0.600000000000  19.444444000000  10.000000000000   1.503858330802   0.021769965738   0.124360509964   0.146130475702   0.142705703800   0.164475669538   0.111022328595  10.291202595333   0.684212139231  -0.405537361682   0.153335905154   1.451653368050  -0.076672792563   0.110207906346   0.051283932145   0.076672792563   0.110207906346  -0.051283932145   0.000000000000
-19.444444000000   0.600000000000  25.000000000000  10.000000000000   1.881518417061   0.028786499518   0.189472723732   0.218259223250   0.221059295288   0.249845794806   0.088569350980   8.620567731552   0.717070842163  -0.635357819565   0.156174671809   1.779753658574  -0.091993012992   0.155111276186   0.053779598751   0.091993012992   0.155111276186  -0.053779598751   0.000000000000
-13.888889000000   0.600000000000 -25.000000000000  10.000000000000  -1.960188519635   0.030954090846   0.193097660200   0.224051751046   0.216765050105   0.247719140951   0.071312198271  -8.748820352799   0.758167321249  -0.646802432938   0.123008583024  -1.861219801777   0.044921977402  -0.264790594406   0.042130905872  -0.044921977402  -0.264790594406  -0.042130905872   0.000000000000
-13.888889000000   0.600000000000 -19.444444000000  10.000000000000  -1.557977974942   0.022925814911   0.123370182470   0.146295997382   0.134316043494   0.157241858405   0.084923201623 -10.649491461317   0.733513151094  -0.403943087227   0.117557167112  -1.509609265396   0.032320631598  -0.227700396998   0.039282114973  -0.032320631598  -0.227700396998  -0.039282114973   0.000000000000
-13.888889000000   0.600000000000 -13.888889000000  10.000000000000  -1.129396339699   0.016140177790   0.068176273668   0.084316451458   0.072142506573   0.088282684364   0.095908182391 -13.394732821033   0.668802907505  -0.213990544207   0.113343423152  -1.110497659151   0.019658654399  -0.181517008444   0.037050212682  -0.019658654399  -0.181517008444  -0.037050212682   0.000000000000
-13.888889000000   0.600000000000  -8.333333000000  10.000000000000  -0.681845483929   0.011241016119   0.030041500114   0.041282516233   0.031099340935   0.042340357054   0.103580979299 -16.516567935928   0.497878643531  -0.083769758951   0.110462033962  -0.676851014560   0.006981881850  -0.127919240439   0.035511336992  -0.006981881850  -0.127919240439  -0.035511336992   0.000000000000
-13.888889000000   0.600000000000  -2.777778000000  10.000000000000  -0.221432722595   0.008667080641   0.010636543512   0.019303624153   0.011624636411   0.020291717052   0.107614097440 -11.471044029913   0.112295529647  -0.017815244329   0.109101427317  -0.220828825419  -0.005916965719  -0.069669950836   0.034766715979   0.005916965719  -0.069669950836  -0.034766715979   0.000000000000
-13.888889000000   0.600000000000   2.777778000000  10.000000000000   0.242985166778   0.008661251876   0.010792580459   0.019453832335   0.011854736876   0.020515988752   0.107350799935  12.490349592381   0.134175146392  -0.018650954277   0.108881883769   0.242366075194  -0.019051389582  -0.008784765554   0.034700643427   0.019051389582  -0.008784765554  -0.034700643427   0.000000000000
