      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-10.000000000000   0.600000000000 -10.000000000000  10.000000000000  -0.945455223098   0.014913832908   0.012364952804   0.027278785711   0.045290954400   0.060204787308  -0.038929502341 -34.658992269717   1.448687183155  -0.131063009897  -0.033601164299  -0.936930449063   0.008181592937   0.277294832596  -0.056449108373  -0.008181592937   0.277294832596   0.056449108373   0.000000000000
-10.000000000000   0.600000000000  -9.000000000000  10.000000000000  -0.854029506729   0.014321080060  -0.005851330205   0.008469749855   0.039611842053   0.053932922113  -0.040964540810 -100.832907860584   3.807087765366  -0.118335426286  -0.038871440761  -0.845932601694   0.005404555943   0.202732674344  -0.045031650892  -0.005404555943   0.202732674344   0.045031650892   0.000000000000
-10.000000000000   0.600000000000  -8.000000000000  10.000000000000  -0.755830251733   0.013613001205  -0.014343286326  -0.000730285122   0.033230100540   0.046843101745  -0.048227773878 1034.979666740830 -34.583887460187  -0.097610267888  -0.047621898306  -0.749539999819   0.003627842380   0.121316854306  -0.046375213709  -0.003627842380   0.121316854306   0.046375213709   0.000000000000
-10.000000000000   0.600000000000  -7.000000000000  10.000000000000  -0.668668404923   0.012589870042  -0.004077319796   0.008512550246   0.033313624936   0.045903494978  -0.031819024101 -78.550890814325   2.322093157532  -0.067685310589  -0.029857432791  -0.665379276794   0.002028868994   0.050936854361  -0.038917799645  -0.002028868994   0.050936854361   0.038917799645   0.000000000000
-10.000000000000   0.600000000000  -6.000000000000  10.000000000000  -0.571864590363   0.012195514548  -0.018316249650  -0.006120735103   0.031511631159   0.043707145707  -0.044472182362  93.430704116072  -2.362112343425  -0.058090644893  -0.044859404481  -0.568909007592  -0.000095626544   0.101609039309  -0.052755515601   0.000095626544   0.101609039309   0.052755515601   0.000000000000
-10.000000000000   0.600000000000  -5.000000000000  10.000000000000  -0.475029903326   0.011611263292  -0.017593988532  -0.005982725241   0.024787510756   0.036398774048  -0.041507773781  79.400253935720  -1.667479725386  -0.040090676431  -0.041916066766  -0.473336960684  -0.000908164177   0.093633757932  -0.050562171193   0.000908164177   0.093633757932   0.050562171193   0.000000000000
-10.000000000000   0.600000000000  -4.000000000000  10.000000000000  -0.378207141431   0.011427308140  -0.023104609494  -0.011677301355   0.021519707359   0.032947015498  -0.059562893463  32.388231659365  -0.541545165631  -0.027536487361  -0.060685741374  -0.377205145951  -0.003461658552  -0.055901468907  -0.040939651796   0.003461658552  -0.055901468907   0.040939651796   0.000000000000
-10.000000000000   0.600000000000  -3.000000000000  10.000000000000  -0.285014429525   0.010490755254  -0.011527942530  -0.001037187277   0.012466932088   0.022957687342  -0.016115686265 274.795532030071  -3.462535510904  -0.013141908589  -0.016050958460  -0.284716829692  -0.004553956359   0.039065658118  -0.037932707334   0.004553956359   0.039065658118   0.037932707334   0.000000000000
-10.000000000000   0.600000000000  -2.000000000000  10.000000000000  -0.187679775546   0.010401584873  -0.017617196395  -0.007215611522   0.015047955968   0.025449540842  -0.025239600072  26.010238352263  -0.215813957446  -0.009271450432  -0.026109131625  -0.187470408499  -0.006607197491  -0.009225463357  -0.043000097657   0.006607197491  -0.009225463357   0.043000097657   0.000000000000
-10.000000000000   0.600000000000  -1.000000000000  10.000000000000  -0.092197013715   0.010369658158  -0.022622185005  -0.012252526846   0.013836866807   0.024206524966  -0.032190451727   7.524734682941  -0.030670846835  -0.008084643494  -0.033829035392  -0.092069939929  -0.008928204758  -0.084272097760  -0.038680630567   0.008928204758  -0.084272097760   0.038680630567   0.000000000000
