      Beta             Mach             AoA             Re/1e6             CL              CDo              CDi             CDtot             CDt            CDtot_t             CS              L/D               E               CFx              CFy              CFz              CMx              CMy              CMz              CMl              CMm              CMn              FOpt 
-25.000000000000   0.600000000000 -25.000000000000  10.000000000000  -2.082652369586   0.054551375267   0.279690562639   0.334241937906   0.295760407325   0.350311782592   0.687207316877  -6.230972638059   0.573707265893  -0.868838340312   0.764078089393  -1.892806665690  -0.047249958938   8.341758009914   0.480628702511   0.047249958938   8.341758009914  -0.480628702511   0.000000000000
-25.000000000000   0.600000000000 -19.444444000000  10.000000000000  -1.738973245321   0.047080573740   0.223025381419   0.270105955159   0.220544968900   0.267625542640   0.765728647081  -6.438115162253   0.494959155946  -0.653208198631   0.808137544862  -1.613554552453  -0.061255419798   7.052534785095   0.507784614146   0.061255419798   7.052534785095  -0.507784614146   0.000000000000
-25.000000000000   0.600000000000 -13.888889000000  10.000000000000  -1.365493706817   0.039639842541   0.175893680267   0.215533522808   0.167161253634   0.206801096175   0.835504221042  -6.335412185667   0.382456723181  -0.480920047890   0.848312384388  -1.287702245172  -0.074388467312   5.551559472086   0.533956291969   0.074388467312   5.551559472086  -0.533956291969   0.000000000000
-25.000000000000   0.600000000000  -8.333333000000  10.000000000000  -0.964970567484   0.032839193543   0.140737510846   0.173576704389   0.135036509038   0.167875702581   0.894819652763  -5.559332232294   0.237167085767  -0.358376332556   0.884338704380  -0.922773395578  -0.087225230082   3.872670062702   0.558956128291   0.087225230082   3.872670062702  -0.558956128291   0.000000000000
-25.000000000000   0.600000000000  -2.777778000000  10.000000000000  -0.550763129929   0.027376963121   0.120143154089   0.147520117211   0.123185735698   0.150562698819   0.942360167229  -3.733478120424   0.090906762449  -0.290940422341   0.916413053260  -0.537294780836  -0.098854492390   2.101962073117   0.583062426534   0.098854492390   2.101962073117  -0.583062426534   0.000000000000
-25.000000000000   0.600000000000   2.777778000000  10.000000000000  -0.124409770369   0.023553119875   0.115128875171   0.138681995046   0.131192007546   0.154745127421   0.977674039600  -0.897086678969   0.004934084894  -0.281127333896   0.944683138954  -0.138196250068  -0.110110080539   0.269257400131   0.606166044184   0.110110080539   0.269257400131  -0.606166044184   0.000000000000
-25.000000000000   0.600000000000   8.333333000000  10.000000000000   0.307518188149   0.021615901795   0.126303330615   0.147919232410   0.157621749851   0.179237651645   1.000343636871   2.078960140197   0.028264069421  -0.330224085964   0.969132596688   0.262429019497  -0.120711963072  -1.571770892074   0.628340997658   0.120711963072  -1.571770892074  -0.628340997658   0.000000000000
-25.000000000000   0.600000000000  13.888889000000  10.000000000000   0.737532884983   0.021593030501   0.153791046145   0.175384076646   0.203158989660   0.224752020161   1.009408496954   4.205244279222   0.137116695811  -0.436854700268   0.988955294699   0.651724819563  -0.130439639589  -3.362056915340   0.648850286462   0.130439639589  -3.362056915340  -0.648850286462   0.000000000000
-25.000000000000   0.600000000000  19.444444000000  10.000000000000   1.157650800171   0.023341734313   0.196780416175   0.220122150488   0.267056548526   0.290398282839   1.005065704986   5.259129068142   0.269159136777  -0.597786376785   1.003926515522   1.016636221455  -0.138990508276  -5.042201000717   0.667559219555   0.138990508276  -5.042201000717  -0.667559219555   0.000000000000
-25.000000000000   0.600000000000  25.000000000000  10.000000000000   1.561251880487   0.026559236401   0.254149393672   0.280708630073   0.348780237875   0.375339474276   0.989242692918   5.561823589388   0.383890977792  -0.808143160065   1.015190949158   1.345807506443  -0.146914777113  -6.561439932212   0.685098796405   0.146914777113  -6.561439932212  -0.685098796405   0.000000000000
