WARNING: 2 open meshes merged
     Merged: SportWingRecon
     Merged: HorizTailEst
...Mass Properties...
22 Num Comps
6 Total Num Meshes
8896 Total Num Tris

8.765000000000002e-01             Total Mass
1.274405226585696e+01 0.000000000000000e+00 -1.215014979944392e-01       Center of Gravity
3.189366973428757e+00 1.073061145509516e+01 1.258557457032659e+01       Ixx, Iyy, Izz
0.000000000000000e+00 1.814887933272729e+00 0.000000000000000e+00       Ixy, Ixz, Iyz
8.312725339729564e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
ForwardFuselage_APPROX	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	5.796170919743470e+02
TailBoom_APPROX	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.056367516655702e+01
PusherMotorPod_APPROX	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.019797949566078e+01
SportWingRecon	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.343948620720366e+02
HorizTailEst	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.886144024398545e+01
VertTailEst	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.637485020369667e+00
MASS_Airframe_Structure_pm	3.340000000000001e-01	1.404330708661417e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Motor_pm	5.800000000000001e-02	1.916141732283464e+01	0.000000000000000e+00	1.968503937007874e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_ESC_pm	2.500000000000000e-02	1.522440944881890e+01	0.000000000000000e+00	-3.937007874015748e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Aileron_Servo_L_pm	9.000000000000003e-03	1.620866141732284e+01	-1.181102362204724e+01	9.842519685039370e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Aileron_Servo_R_pm	9.000000000000003e-03	1.620866141732284e+01	1.181102362204724e+01	9.842519685039370e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Elevator_Servo_pm	9.000000000000003e-03	1.738976377952756e+01	-7.874015748031497e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Rudder_Servo_pm	9.000000000000003e-03	1.738976377952756e+01	7.874015748031497e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Prop_and_Adapter_pm	1.800000000000000e-02	1.994881889763780e+01	0.000000000000000e+00	1.968503937007874e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Receiver_pm	2.000000000000000e-03	9.712598425196850e+00	0.000000000000000e+00	-3.937007874015748e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Stock_Harness_pm	2.000000000000000e-02	1.364960629921260e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_Custom_PCB_pm	2.500000000000000e-02	9.712598425196850e+00	0.000000000000000e+00	-3.937007874015748e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
MASS_GPS_pm	1.600000000000000e-02	1.168110236220472e+01	0.000000000000000e+00	1.968503937007874e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
